Login,Open Time,Type,Symbol,Volume
465628,2023.06.29 05:11:00,buy,xauusd,0.086715004
912903,2023.06.29 10:22:23,sell,xauusd,1.108308939
901204,2023.06.29 12:33:01,sell,xauusd,0.110441708
196182,2023.06.29 14:31:55,sell,xauusd,0.431422731
323715,2023.06.29 14:57:58,sell,xauusd,0.080328317
158438,2023.06.29 15:01:14,sell,xauusd,0.08199168
756469,2023.06.29 15:04:51,sell,xauusd,0.113509273
300366,2023.06.29 16:09:15,buy,xauusd,0.542806201
998228,2023.06.29 15:16:06,sell,xauusd,0.099145684
671156,2023.06.29 15:27:38,sell,xauusd,0.119671753
511920,2023.06.29 15:50:33,sell,xauusd,0.110370777
122204,2023.06.29 15:51:15,sell,xauusd,1.079406705
704924,2023.06.29 15:52:29,sell,xauusd,0.198099597
468696,2023.06.29 15:54:52,sell,xauusd,0.121591031
992439,2023.06.29 15:55:25,sell,xauusd,0.103816248
511920,2023.06.29 16:01:16,sell,xauusd,0.110370777
704924,2023.06.29 16:03:26,sell,xauusd,0.198099597
992439,2023.06.29 16:04:42,sell,xauusd,0.103816248
734585,2023.06.29 16:07:20,sell,xauusd,0.173714597
511920,2023.06.29 16:10:22,sell,xauusd,0.110370777
539922,2023.06.29 16:12:35,sell,xauusd,0.09362225
901204,2023.06.29 16:11:51,sell,xauusd,0.110441708
181717,2023.06.29 16:33:16,sell,xauusd,0.2076755
921468,2023.06.30 08:12:01,sell,xauusd,0.080510225
921468,2023.06.29 18:50:17,sell,xauusd,0.080510225
555151,2023.06.30 10:33:43,sell,xauusd,0.082149055
671156,2023.06.30 10:47:30,sell,xauusd,0.119671753
901204,2023.06.30 12:10:53,sell,xauusd,0.110441708
379985,2023.06.30 12:22:49,sell,xauusd,0.117190067
379985,2023.06.30 12:24:12,sell,xauusd,0.117190067
379985,2023.06.30 12:24:41,sell,xauusd,0.117190067
379985,2023.06.30 12:25:09,sell,xauusd,0.117190067
379985,2023.06.30 12:26:08,sell,xauusd,0.117190067
379985,2023.06.30 12:26:35,sell,xauusd,0.117190067
379985,2023.06.30 12:27:09,sell,xauusd,0.117190067
555151,2023.06.30 13:31:44,sell,xauusd,0.082149055
237900,2023.06.30 14:41:22,sell,xauusd,0.107639674
913609,2023.06.30 14:57:35,sell,xauusd,0.100013371
237900,2023.06.30 15:00:59,sell,xauusd,0.107639674
921468,2023.06.30 16:51:59,sell,xauusd,0.080510225
237900,2023.07.03 10:38:23,sell,xauusd,0.107639674
300366,2023.07.05 07:33:00,buy,xauusd,0.232631229
593593,2023.07.05 15:12:17,sell,xauusd,0.119850238
865080,2023.07.06 01:00:08,sell,xauusd,0.103504727
147515,2023.07.06 14:44:53,sell,xauusd,0.152037306
695295,2023.07.06 15:11:10,sell,xauusd,0.10735328
901204,2023.07.06 15:22:23,sell,xauusd,0.110441708
461103,2023.07.06 17:38:15,sell,xauusd,0.11911435
881672,2023.07.06 16:09:18,sell,xauusd,0.234669895
840095,2023.07.06 16:34:23,sell,xauusd,0.106377804
